date,district,source,value
2020-11-29 15:48:51,Southern Owens Valley,Cartago Spillgate Outflow,20.2
2020-11-29 15:48:51,Mono Basin,Lee Vining Intake Above Flow,19.7
2020-11-29 15:48:51,Mono Basin,Lee Vining Intake Below Flow,16.9
2020-11-29 15:48:51,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2020-11-29 15:48:51,Mono Basin,L.V. Conduit Below Intake Flow,2.5
2020-11-29 15:48:51,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2020-11-29 15:48:51,Mono Basin,Parker Ck. Under Conduit Flow,4.0
2020-11-29 15:48:51,Mono Basin,Parker Ck. Above Conduit Flow,4.0
2020-11-29 15:48:51,Mono Basin,Grant Lk. Spill Flow,0.0
2020-11-29 15:48:51,Mono Basin,Mono Gate 1 Return Ditch Flow,26.9
2020-11-29 15:48:51,Mono Basin,Grant Lk. Outflow,82.9
2020-11-29 15:48:51,Mono Basin,Rush Ck. at Damsite Flow,14.9
2020-11-29 15:48:51,Mono Basin,Flow to West Portal,49.5
2020-11-29 15:48:51,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,40.5
2020-11-29 15:48:51,Northern Owens Valley,Pleasant Valley Outflow,86.0
2020-11-29 15:48:51,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2020-11-29 15:48:51,Northern Owens Valley,Big Pine Ck. USGS Flow,18.2
2020-11-29 15:48:51,Northern Owens Valley,O.R. Below Big Pine,164.2
2020-11-29 15:48:51,Northern Owens Valley,Fish Springs At RR Flow,25.5
2020-11-29 15:48:51,Northern Owens Valley,Tinemaha Reservoir Outflow,164.0
2020-11-29 15:48:51,Northern Owens Valley,Bishop Creek Through Plant 6,60.0
2020-11-29 15:48:51,Northern Owens Valley,Bishop Creek Around Plant 6,1.0
2020-11-29 15:48:51,Lower Owens River Project,LORP Intake Flow,42.0
2020-11-29 15:48:51,Lower Owens River Project,LORP at Mazourka Canyon Road,42.0
2020-11-29 15:48:51,Lower Owens River Project,LORP at Reinhackle Springs,42.0
2020-11-29 15:48:51,Lower Owens River Project,LORP Above Pumpstation,40.0
2020-11-29 15:48:51,Lower Owens River Project,LORP At Pump Station Discharge Flow,33.0
2020-11-29 15:48:52,Southern Owens Valley,Tinemaha Elevation,3861.9
2020-11-29 15:48:52,Northern Owens Valley,Tinemaha Elevation,3861.9
2020-11-29 15:48:52,Long Valley,Long Valley Elevation,6762.7
2020-11-29 15:48:52,Southern District,S. Haiwee Reservoir Elevation,3723.9
2020-11-29 15:48:52,Southern Owens Valley,LAA at Alabama Level,5.5
2020-11-29 15:48:52,Southern Owens Valley,LAA at Alabama Water Temp,44.8
2020-11-29 15:48:52,Southern Owens Valley,LAA at Cottonwood Level,7.4
2020-11-29 15:48:52,Southern Owens Valley,LAA at Cotton. Water Temp,-105.2
2020-11-29 15:48:52,Southern Owens Valley,N. Haiwee Elevation,3756.6
2020-11-29 15:48:52,Southern Owens Valley,S. Haiwee Reservoir Elevation,3723.9
2020-11-29 15:48:52,Northern Owens Valley,Pleasant Valley Elevation,4385.5
2020-11-29 15:48:53,Southern District,Fairmont Reservoir Elevation,3015.2
2020-11-29 15:48:53,Southern District,Bouquet Reservoir Elevation,2983.9
2020-11-29 15:48:53,Mono Basin,Mono Lk. Elevation,6380.8
2020-11-29 15:48:53,Mono Basin,Grant Lk. Elevation,7114.5
2020-11-29 16:03:51,Long Valley,East Portal Flow,62.0
2020-11-29 16:03:51,Long Valley,OR Below EP Flow,114.0
2020-11-29 16:03:51,Long Valley,Hot Ck.at Hwy. Flow,6.0
2020-11-29 16:03:51,Long Valley,McGee Ck. Lower Sta. Flow,7.6
2020-11-29 16:03:51,Long Valley,Long Valley Current Outflow,0.0
2020-11-29 16:03:51,Long Valley,Rock Ck. Div. Flow,0.0
2020-11-29 16:03:51,Long Valley,Upper Gorge Total Release,80.0
2020-11-29 16:03:51,Long Valley,Release at Middle Gorge,0.0
2020-11-29 16:03:51,Southern District,Haiwee LAA #2 Current Flow,139.1
2020-11-29 16:03:51,Southern District,Haiwee LAA #1 Current Flow,0.0
2020-11-29 16:03:51,Southern District,LAA #1 Flow at Fairmont Reservoir,0.6
2020-11-29 16:03:51,Southern District,LAA #2 Flow at Fairmont Res.,158.4
2020-11-29 16:03:51,Southern District,Bouquet Reservoir Inflow,0.3
2020-11-29 16:03:51,Southern District,Bouquet Reservoir Outflow,62.1
2020-11-29 16:03:51,Southern District,LAA #1 at Soledad Flow,2.3
2020-11-29 16:03:51,Southern District,LAA #2 at Soledad Flow,219.4
2020-11-29 16:03:51,Southern Owens Valley,Tinemaha Reservoir Outflow,164.0
2020-11-29 16:03:51,Southern Owens Valley,Indep. Ck. At Junction Flow,2.4
2020-11-29 16:03:51,Southern Owens Valley,LAA at Alabama Flow,179.0
2020-11-29 16:03:51,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2020-11-29 16:03:51,Southern Owens Valley,LAA at Cottonwood Flow,193.0
2020-11-29 16:03:51,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2020-11-29 16:03:51,Southern Owens Valley,Haiwee LAA #2 Current Flow,139.1
2020-11-29 16:03:51,Southern Owens Valley,Reinhackel Flow,1.7
2020-11-29 16:03:51,Southern Owens Valley,Lubkin Spillgate Outflow,0.9
2020-11-29 16:03:51,Southern Owens Valley,Cartago Spillgate Outflow,21.8
2020-11-29 16:03:51,Mono Basin,Lee Vining Intake Above Flow,19.7
2020-11-29 16:03:51,Mono Basin,Lee Vining Intake Below Flow,16.9
2020-11-29 16:03:51,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2020-11-29 16:03:51,Mono Basin,L.V. Conduit Below Intake Flow,2.5
2020-11-29 16:03:51,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2020-11-29 16:03:51,Mono Basin,Parker Ck. Under Conduit Flow,4.0
2020-11-29 16:03:51,Mono Basin,Parker Ck. Above Conduit Flow,4.0
2020-11-29 16:03:51,Mono Basin,Grant Lk. Spill Flow,0.0
2020-11-29 16:03:51,Mono Basin,Mono Gate 1 Return Ditch Flow,26.9
2020-11-29 16:03:51,Mono Basin,Grant Lk. Outflow,82.9
2020-11-29 16:03:51,Mono Basin,Rush Ck. at Damsite Flow,14.9
2020-11-29 16:03:51,Mono Basin,Flow to West Portal,49.5
2020-11-29 16:03:51,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,40.5
2020-11-29 16:03:51,Northern Owens Valley,Pleasant Valley Outflow,86.0
2020-11-29 16:03:51,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2020-11-29 16:03:51,Northern Owens Valley,Big Pine Ck. USGS Flow,18.2
2020-11-29 16:03:51,Northern Owens Valley,O.R. Below Big Pine,164.3
2020-11-29 16:03:51,Northern Owens Valley,Fish Springs At RR Flow,25.5
2020-11-29 16:03:51,Northern Owens Valley,Tinemaha Reservoir Outflow,164.0
2020-11-29 16:03:51,Northern Owens Valley,Bishop Creek Through Plant 6,60.0
2020-11-29 16:03:51,Northern Owens Valley,Bishop Creek Around Plant 6,1.0
2020-11-29 16:03:51,Lower Owens River Project,LORP Intake Flow,42.0
2020-11-29 16:03:51,Lower Owens River Project,LORP at Mazourka Canyon Road,42.0
2020-11-29 16:03:51,Lower Owens River Project,LORP at Reinhackle Springs,42.0
2020-11-29 16:03:51,Lower Owens River Project,LORP Above Pumpstation,41.0
2020-11-29 16:03:51,Lower Owens River Project,LORP At Pump Station Discharge Flow,34.0
2020-11-29 16:03:52,Long Valley,Long Valley Elevation,6762.7
2020-11-29 16:03:52,Southern District,S. Haiwee Reservoir Elevation,3723.9
2020-11-29 16:03:52,Southern District,Fairmont Reservoir Elevation,3015.2
2020-11-29 16:03:52,Southern District,Bouquet Reservoir Elevation,2983.9
2020-11-29 16:03:52,Southern Owens Valley,LAA at Alabama Level,5.5
2020-11-29 16:03:52,Southern Owens Valley,LAA at Alabama Water Temp,44.8
2020-11-29 16:03:52,Southern Owens Valley,LAA at Cottonwood Level,7.4
2020-11-29 16:03:52,Southern Owens Valley,LAA at Cotton. Water Temp,-105.2
2020-11-29 16:03:52,Southern Owens Valley,N. Haiwee Elevation,3756.6
2020-11-29 16:03:52,Southern Owens Valley,S. Haiwee Reservoir Elevation,3723.9
2020-11-29 16:03:52,Mono Basin,Mono Lk. Elevation,6380.8
2020-11-29 16:03:52,Mono Basin,Grant Lk. Elevation,7114.5
2020-11-29 16:03:52,Northern Owens Valley,Pleasant Valley Elevation,4385.5
2020-11-29 16:18:51,Long Valley,East Portal Flow,62.0
2020-11-29 16:18:51,Long Valley,OR Below EP Flow,114.0
2020-11-29 16:18:51,Long Valley,Hot Ck.at Hwy. Flow,6.0
2020-11-29 16:18:51,Long Valley,McGee Ck. Lower Sta. Flow,7.6
2020-11-29 16:18:51,Long Valley,Long Valley Current Outflow,0.0
2020-11-29 16:18:51,Long Valley,Rock Ck. Div. Flow,0.0
2020-11-29 16:18:51,Long Valley,Upper Gorge Total Release,80.0
2020-11-29 16:18:51,Long Valley,Release at Middle Gorge,0.0
2020-11-29 16:18:51,Southern District,Haiwee LAA #2 Current Flow,139.1
2020-11-29 16:18:51,Southern District,Haiwee LAA #1 Current Flow,0.0
2020-11-29 16:18:51,Southern District,LAA #1 Flow at Fairmont Reservoir,0.6
2020-11-29 16:18:51,Southern District,LAA #2 Flow at Fairmont Res.,158.4
2020-11-29 16:18:51,Southern District,Bouquet Reservoir Inflow,0.3
2020-11-29 16:18:51,Southern Owens Valley,Tinemaha Reservoir Outflow,163.6
2020-11-29 16:18:51,Southern Owens Valley,Indep. Ck. At Junction Flow,2.4
2020-11-29 16:18:51,Southern Owens Valley,LAA at Alabama Flow,179.0
2020-11-29 16:18:51,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2020-11-29 16:18:51,Southern Owens Valley,LAA at Cottonwood Flow,193.0
2020-11-29 16:18:51,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2020-11-29 16:18:51,Southern Owens Valley,Haiwee LAA #2 Current Flow,139.1
2020-11-29 16:18:51,Southern Owens Valley,Reinhackel Flow,1.7
2020-11-29 16:18:51,Southern Owens Valley,Lubkin Spillgate Outflow,9.2
2020-11-29 16:18:51,Southern Owens Valley,Cartago Spillgate Outflow,31.5
2020-11-29 16:18:51,Mono Basin,Lee Vining Intake Above Flow,19.7
2020-11-29 16:18:51,Mono Basin,Lee Vining Intake Below Flow,16.9
2020-11-29 16:18:51,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2020-11-29 16:18:51,Mono Basin,L.V. Conduit Below Intake Flow,2.5
2020-11-29 16:18:51,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2020-11-29 16:18:51,Mono Basin,Parker Ck. Under Conduit Flow,4.0
2020-11-29 16:18:51,Mono Basin,Parker Ck. Above Conduit Flow,4.0
2020-11-29 16:18:51,Mono Basin,Grant Lk. Spill Flow,0.0
2020-11-29 16:18:51,Mono Basin,Mono Gate 1 Return Ditch Flow,26.9
2020-11-29 16:18:51,Mono Basin,Grant Lk. Outflow,82.9
2020-11-29 16:18:51,Mono Basin,Rush Ck. at Damsite Flow,14.9
2020-11-29 16:18:51,Mono Basin,Flow to West Portal,49.5
2020-11-29 16:18:51,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,40.5
2020-11-29 16:18:51,Northern Owens Valley,Pleasant Valley Outflow,86.0
2020-11-29 16:18:51,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2020-11-29 16:18:51,Northern Owens Valley,Big Pine Ck. USGS Flow,18.2
2020-11-29 16:18:51,Northern Owens Valley,O.R. Below Big Pine,164.2
2020-11-29 16:18:51,Northern Owens Valley,Fish Springs At RR Flow,25.5
2020-11-29 16:18:51,Northern Owens Valley,Tinemaha Reservoir Outflow,163.6
2020-11-29 16:18:51,Northern Owens Valley,Bishop Creek Through Plant 6,60.0
2020-11-29 16:18:51,Northern Owens Valley,Bishop Creek Around Plant 6,1.0
2020-11-29 16:18:51,Lower Owens River Project,LORP Intake Flow,42.0
2020-11-29 16:18:51,Lower Owens River Project,LORP at Mazourka Canyon Road,42.0
2020-11-29 16:18:51,Lower Owens River Project,LORP at Reinhackle Springs,42.0
2020-11-29 16:18:51,Lower Owens River Project,LORP Above Pumpstation,41.0
2020-11-29 16:18:51,Lower Owens River Project,LORP At Pump Station Discharge Flow,34.0
2020-11-29 16:18:52,Southern District,Bouquet Reservoir Outflow,62.1
2020-11-29 16:18:52,Southern District,LAA #1 at Soledad Flow,2.3
2020-11-29 16:18:52,Southern District,LAA #2 at Soledad Flow,219.4
2020-11-29 16:18:53,Southern Owens Valley,Tinemaha Elevation,3861.9
2020-11-29 16:18:53,Northern Owens Valley,Tinemaha Elevation,3861.9
2020-11-29 16:18:53,Long Valley,Long Valley Elevation,6762.7
2020-11-29 16:18:53,Southern District,S. Haiwee Reservoir Elevation,3723.9
2020-11-29 16:18:53,Southern District,Fairmont Reservoir Elevation,3015.2
2020-11-29 16:18:53,Southern District,Bouquet Reservoir Elevation,2983.9
2020-11-29 16:18:53,Southern Owens Valley,LAA at Alabama Level,5.5
2020-11-29 16:18:53,Southern Owens Valley,LAA at Alabama Water Temp,44.8
2020-11-29 16:18:53,Southern Owens Valley,LAA at Cottonwood Level,7.4
2020-11-29 16:18:53,Southern Owens Valley,LAA at Cotton. Water Temp,-105.2
2020-11-29 16:18:53,Southern Owens Valley,N. Haiwee Elevation,3756.6
2020-11-29 16:18:53,Southern Owens Valley,S. Haiwee Reservoir Elevation,3723.9
2020-11-29 16:18:53,Mono Basin,Mono Lk. Elevation,6380.8
2020-11-29 16:18:53,Mono Basin,Grant Lk. Elevation,7114.5
2020-11-29 16:18:53,Northern Owens Valley,Pleasant Valley Elevation,4385.5
2020-11-29 16:33:51,Mono Basin,Lee Vining Intake Above Flow,19.7
2020-11-29 16:33:51,Mono Basin,Lee Vining Intake Below Flow,16.9
2020-11-29 16:33:51,Mono Basin,L.V. Conduit Below Intake Flow,2.5
2020-11-29 16:33:51,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2020-11-29 16:33:51,Mono Basin,Parker Ck. Under Conduit Flow,4.0
2020-11-29 16:33:51,Long Valley,Hot Ck.at Hwy. Flow,6.0
2020-11-29 16:33:51,Long Valley,McGee Ck. Lower Sta. Flow,7.6
2020-11-29 16:33:51,Long Valley,Long Valley Current Outflow,0.0
2020-11-29 16:33:51,Long Valley,Rock Ck. Div. Flow,0.0
2020-11-29 16:33:51,Long Valley,Upper Gorge Total Release,80.0
2020-11-29 16:33:51,Long Valley,Release at Middle Gorge,0.0
2020-11-29 16:33:51,Lower Owens River Project,LORP Intake Flow,42.0
2020-11-29 16:33:51,Lower Owens River Project,LORP at Mazourka Canyon Road,42.0
2020-11-29 16:33:51,Lower Owens River Project,LORP at Reinhackle Springs,42.0
2020-11-29 16:33:51,Lower Owens River Project,LORP Above Pumpstation,41.0
2020-11-29 16:33:51,Lower Owens River Project,LORP At Pump Station Discharge Flow,33.0
2020-11-29 16:33:51,Southern Owens Valley,Tinemaha Reservoir Outflow,163.6
2020-11-29 16:33:51,Southern Owens Valley,Indep. Ck. At Junction Flow,2.4
2020-11-29 16:33:51,Southern Owens Valley,LAA at Alabama Flow,179.0
2020-11-29 16:33:51,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2020-11-29 16:33:51,Southern Owens Valley,LAA at Cottonwood Flow,194.0
2020-11-29 16:33:51,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2020-11-29 16:33:51,Southern Owens Valley,Haiwee LAA #2 Current Flow,139.1
2020-11-29 16:33:51,Southern Owens Valley,Reinhackel Flow,1.7
2020-11-29 16:33:51,Southern Owens Valley,Lubkin Spillgate Outflow,9.2
2020-11-29 16:33:51,Southern Owens Valley,Cartago Spillgate Outflow,26.8
2020-11-29 16:33:51,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,40.5
2020-11-29 16:33:51,Northern Owens Valley,Pleasant Valley Outflow,86.0
2020-11-29 16:33:51,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2020-11-29 16:33:51,Northern Owens Valley,Big Pine Ck. USGS Flow,18.2
2020-11-29 16:33:51,Northern Owens Valley,O.R. Below Big Pine,164.1
2020-11-29 16:33:51,Northern Owens Valley,Fish Springs At RR Flow,25.5
2020-11-29 16:33:51,Northern Owens Valley,Tinemaha Reservoir Outflow,163.6
2020-11-29 16:33:51,Northern Owens Valley,Bishop Creek Through Plant 6,60.0
2020-11-29 16:33:51,Northern Owens Valley,Bishop Creek Around Plant 6,1.0
2020-11-29 16:33:51,Southern District,Haiwee LAA #2 Current Flow,139.1
2020-11-29 16:33:51,Southern District,Haiwee LAA #1 Current Flow,0.0
2020-11-29 16:33:52,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2020-11-29 16:33:52,Mono Basin,Parker Ck. Above Conduit Flow,4.0
2020-11-29 16:33:52,Mono Basin,Grant Lk. Spill Flow,0.0
2020-11-29 16:33:52,Mono Basin,Mono Gate 1 Return Ditch Flow,26.9
2020-11-29 16:33:52,Mono Basin,Grant Lk. Outflow,82.9
2020-11-29 16:33:52,Mono Basin,Rush Ck. at Damsite Flow,14.9
2020-11-29 16:33:52,Mono Basin,Flow to West Portal,49.5
2020-11-29 16:33:52,Long Valley,East Portal Flow,62.0
2020-11-29 16:33:52,Long Valley,OR Below EP Flow,114.0
2020-11-29 16:33:52,Southern District,LAA #1 Flow at Fairmont Reservoir,0.6
2020-11-29 16:33:52,Southern District,LAA #2 Flow at Fairmont Res.,158.4
2020-11-29 16:33:52,Southern District,Bouquet Reservoir Inflow,0.3
2020-11-29 16:33:52,Southern District,Bouquet Reservoir Outflow,62.1
2020-11-29 16:33:52,Southern District,LAA #1 at Soledad Flow,2.3
2020-11-29 16:33:52,Southern District,LAA #2 at Soledad Flow,219.4
2020-11-29 16:33:53,Mono Basin,Mono Lk. Elevation,6380.8
2020-11-29 16:33:53,Mono Basin,Grant Lk. Elevation,7114.5
2020-11-29 16:33:53,Long Valley,Long Valley Elevation,6762.7
2020-11-29 16:33:53,Southern Owens Valley,LAA at Alabama Level,5.5
2020-11-29 16:33:53,Southern Owens Valley,LAA at Alabama Water Temp,44.8
2020-11-29 16:33:53,Southern Owens Valley,LAA at Cottonwood Level,7.4
2020-11-29 16:33:53,Southern Owens Valley,LAA at Cotton. Water Temp,-105.2
2020-11-29 16:33:53,Southern Owens Valley,N. Haiwee Elevation,3756.6
2020-11-29 16:33:53,Southern Owens Valley,S. Haiwee Reservoir Elevation,3723.9
2020-11-29 16:33:53,Northern Owens Valley,Pleasant Valley Elevation,4385.5
2020-11-29 16:33:53,Southern District,S. Haiwee Reservoir Elevation,3723.9
2020-11-29 16:33:53,Southern District,Fairmont Reservoir Elevation,3015.2
2020-11-29 16:33:53,Southern District,Bouquet Reservoir Elevation,2983.9
2020-11-29 16:48:51,Southern District,Haiwee LAA #2 Current Flow,139.1
2020-11-29 16:48:51,Southern District,Haiwee LAA #1 Current Flow,0.0
2020-11-29 16:48:51,Southern Owens Valley,Tinemaha Reservoir Outflow,163.6
2020-11-29 16:48:51,Southern Owens Valley,Indep. Ck. At Junction Flow,2.4
2020-11-29 16:48:51,Southern Owens Valley,LAA at Alabama Flow,179.0
2020-11-29 16:48:51,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2020-11-29 16:48:51,Southern Owens Valley,LAA at Cottonwood Flow,194.0
2020-11-29 16:48:51,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2020-11-29 16:48:51,Southern Owens Valley,Haiwee LAA #2 Current Flow,139.1
2020-11-29 16:48:51,Southern Owens Valley,Reinhackel Flow,1.7
2020-11-29 16:48:51,Southern Owens Valley,Lubkin Spillgate Outflow,0.6
2020-11-29 16:48:51,Southern Owens Valley,Cartago Spillgate Outflow,20.9
2020-11-29 16:48:51,Northern Owens Valley,Big Pine Ck. USGS Flow,18.2
2020-11-29 16:48:51,Northern Owens Valley,Tinemaha Reservoir Outflow,163.6
2020-11-29 16:48:51,Lower Owens River Project,LORP Intake Flow,42.0
2020-11-29 16:48:51,Lower Owens River Project,LORP at Mazourka Canyon Road,42.0
2020-11-29 16:48:51,Lower Owens River Project,LORP at Reinhackle Springs,42.0
2020-11-29 16:48:51,Lower Owens River Project,LORP Above Pumpstation,41.0
2020-11-29 16:48:51,Lower Owens River Project,LORP At Pump Station Discharge Flow,34.0
2020-11-29 16:48:52,Long Valley,East Portal Flow,62.0
2020-11-29 16:48:52,Long Valley,OR Below EP Flow,114.0
2020-11-29 16:48:52,Long Valley,Hot Ck.at Hwy. Flow,6.0
2020-11-29 16:48:52,Long Valley,McGee Ck. Lower Sta. Flow,7.6
2020-11-29 16:48:52,Long Valley,Long Valley Current Outflow,0.0
2020-11-29 16:48:52,Long Valley,Rock Ck. Div. Flow,0.0
2020-11-29 16:48:52,Long Valley,Upper Gorge Total Release,80.0
2020-11-29 16:48:52,Long Valley,Release at Middle Gorge,0.0
2020-11-29 16:48:52,Southern District,LAA #1 Flow at Fairmont Reservoir,0.6
2020-11-29 16:48:52,Southern District,LAA #2 Flow at Fairmont Res.,158.3
2020-11-29 16:48:52,Southern District,Bouquet Reservoir Inflow,0.3
2020-11-29 16:48:52,Southern District,Bouquet Reservoir Outflow,58.4
2020-11-29 16:48:52,Southern District,LAA #1 at Soledad Flow,2.3
2020-11-29 16:48:52,Southern District,LAA #2 at Soledad Flow,219.4
2020-11-29 16:48:52,Mono Basin,Lee Vining Intake Above Flow,19.7
2020-11-29 16:48:52,Mono Basin,Lee Vining Intake Below Flow,16.9
2020-11-29 16:48:52,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2020-11-29 16:48:52,Mono Basin,L.V. Conduit Below Intake Flow,2.5
2020-11-29 16:48:52,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2020-11-29 16:48:52,Mono Basin,Parker Ck. Under Conduit Flow,4.0
2020-11-29 16:48:52,Mono Basin,Parker Ck. Above Conduit Flow,4.0
2020-11-29 16:48:52,Mono Basin,Grant Lk. Spill Flow,0.0
2020-11-29 16:48:52,Mono Basin,Mono Gate 1 Return Ditch Flow,26.8
2020-11-29 16:48:52,Mono Basin,Grant Lk. Outflow,82.3
2020-11-29 16:48:52,Mono Basin,Rush Ck. at Damsite Flow,14.9
2020-11-29 16:48:52,Mono Basin,Flow to West Portal,49.5
2020-11-29 16:48:52,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,40.5
2020-11-29 16:48:52,Northern Owens Valley,Pleasant Valley Outflow,86.3
2020-11-29 16:48:52,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2020-11-29 16:48:52,Northern Owens Valley,O.R. Below Big Pine,164.2
2020-11-29 16:48:52,Northern Owens Valley,Fish Springs At RR Flow,25.6
2020-11-29 16:48:52,Northern Owens Valley,Bishop Creek Through Plant 6,60.0
2020-11-29 16:48:52,Northern Owens Valley,Bishop Creek Around Plant 6,1.0
2020-11-29 16:48:53,Southern Owens Valley,Tinemaha Elevation,3861.9
2020-11-29 16:48:53,Northern Owens Valley,Tinemaha Elevation,3861.9
2020-11-29 16:48:53,Long Valley,Long Valley Elevation,6762.7
2020-11-29 16:48:53,Southern District,S. Haiwee Reservoir Elevation,3723.9
2020-11-29 16:48:53,Southern District,Fairmont Reservoir Elevation,3015.2
2020-11-29 16:48:53,Southern District,Bouquet Reservoir Elevation,2983.9
2020-11-29 16:48:53,Southern Owens Valley,LAA at Alabama Level,5.6
2020-11-29 16:48:53,Southern Owens Valley,LAA at Alabama Water Temp,44.8
2020-11-29 16:48:53,Southern Owens Valley,LAA at Cottonwood Level,7.4
2020-11-29 16:48:53,Southern Owens Valley,LAA at Cotton. Water Temp,-105.2
2020-11-29 16:48:53,Southern Owens Valley,N. Haiwee Elevation,3756.6
2020-11-29 16:48:53,Southern Owens Valley,S. Haiwee Reservoir Elevation,3723.9
2020-11-29 16:48:53,Mono Basin,Mono Lk. Elevation,6380.8
2020-11-29 16:48:53,Mono Basin,Grant Lk. Elevation,7114.5
2020-11-29 16:48:53,Northern Owens Valley,Pleasant Valley Elevation,4385.5
2020-11-29 17:03:51,Long Valley,East Portal Flow,62.0
2020-11-29 17:03:51,Long Valley,OR Below EP Flow,114.0
2020-11-29 17:03:51,Long Valley,Hot Ck.at Hwy. Flow,6.0
2020-11-29 17:03:51,Long Valley,McGee Ck. Lower Sta. Flow,7.6
2020-11-29 17:03:51,Long Valley,Long Valley Current Outflow,0.0
2020-11-29 17:03:51,Long Valley,Rock Ck. Div. Flow,0.0
2020-11-29 17:03:51,Long Valley,Upper Gorge Total Release,80.0
2020-11-29 17:03:51,Long Valley,Release at Middle Gorge,0.0
2020-11-29 17:03:51,Southern District,Haiwee LAA #2 Current Flow,139.1
2020-11-29 17:03:51,Southern District,Haiwee LAA #1 Current Flow,0.0
2020-11-29 17:03:51,Southern District,LAA #1 Flow at Fairmont Reservoir,0.6
2020-11-29 17:03:51,Southern District,LAA #2 Flow at Fairmont Res.,158.3
2020-11-29 17:03:51,Southern District,Bouquet Reservoir Inflow,0.3
2020-11-29 17:03:51,Southern District,Bouquet Reservoir Outflow,61.9
2020-11-29 17:03:51,Southern District,LAA #1 at Soledad Flow,2.3
2020-11-29 17:03:51,Southern District,LAA #2 at Soledad Flow,219.4
2020-11-29 17:03:51,Southern Owens Valley,Tinemaha Reservoir Outflow,163.6
2020-11-29 17:03:51,Southern Owens Valley,Indep. Ck. At Junction Flow,2.4
2020-11-29 17:03:51,Southern Owens Valley,LAA at Alabama Flow,180.0
2020-11-29 17:03:51,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2020-11-29 17:03:51,Southern Owens Valley,LAA at Cottonwood Flow,194.0
2020-11-29 17:03:51,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2020-11-29 17:03:51,Southern Owens Valley,Haiwee LAA #2 Current Flow,139.1
2020-11-29 17:03:51,Southern Owens Valley,Reinhackel Flow,1.7
2020-11-29 17:03:51,Southern Owens Valley,Lubkin Spillgate Outflow,0.6
2020-11-29 17:03:51,Southern Owens Valley,Cartago Spillgate Outflow,20.9
2020-11-29 17:03:51,Mono Basin,Lee Vining Intake Above Flow,19.7
2020-11-29 17:03:51,Mono Basin,Lee Vining Intake Below Flow,16.9
2020-11-29 17:03:51,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2020-11-29 17:03:51,Mono Basin,L.V. Conduit Below Intake Flow,2.5
2020-11-29 17:03:51,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2020-11-29 17:03:51,Mono Basin,Parker Ck. Under Conduit Flow,4.0
2020-11-29 17:03:51,Mono Basin,Parker Ck. Above Conduit Flow,4.0
2020-11-29 17:03:51,Mono Basin,Grant Lk. Spill Flow,0.0
2020-11-29 17:03:51,Mono Basin,Mono Gate 1 Return Ditch Flow,26.8
2020-11-29 17:03:51,Mono Basin,Grant Lk. Outflow,82.3
2020-11-29 17:03:51,Mono Basin,Rush Ck. at Damsite Flow,14.9
2020-11-29 17:03:51,Mono Basin,Flow to West Portal,49.5
2020-11-29 17:03:51,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,40.5
2020-11-29 17:03:51,Northern Owens Valley,Pleasant Valley Outflow,86.3
2020-11-29 17:03:51,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2020-11-29 17:03:51,Northern Owens Valley,Big Pine Ck. USGS Flow,18.2
2020-11-29 17:03:51,Northern Owens Valley,O.R. Below Big Pine,164.2
2020-11-29 17:03:51,Northern Owens Valley,Fish Springs At RR Flow,25.6
2020-11-29 17:03:51,Northern Owens Valley,Tinemaha Reservoir Outflow,163.6
